Facility Type,License Number,Entity Name,Camis Trade Name,Address Bldg,Address Street,Address Location,Address City,Address State,Address Zip Code,Telephone Number,Number of Spaces
Parking Garage,780839,PRIMARY PARKING LLC,,721,10 AVENUE,AKA 721-735,NEW YORK,NY,10019,2126869800,181
Parking Garage,832475,IVY LEAGUE APT CORP,,675,ACADEMY STREET,,NEW YORK,NY,10034,7186277177,15
Parking Garage,851982,132 WEST 56TH ST GARAGE CORP,,156,WEST   56 STREET,,NEW YORK,NY,10019,2128887400,105
Parking Garage,855640,ASTRO PARKING LLC,,155,WEST   70 STREET,,NEW YORK,NY,10023,2126869800,43
Parking Garage,886174,AMBRO OPERATING CORP,,70-20,108 STREET,,FOREST HILLS,NY,11375,2127511080,127
Parking Garage,889309,FLUSHING CENTER INC,,135-20,39 AVENUE,,QUEENS,NY,11354,7184606666,178
Parking Garage,891228,"HOLY, MIRA M",,848,LORIMER STREET,848-862,BROOKLYN,NY,11222,7183896510,25
Parking Garage,898077,KINNEY SYSTEM INC,KINNEY SYSTEM,3414,WAYNE AVENUE,MONTEFIORE HOSPITAL,BRONX,NY,10467,2128894444,662
Parking Garage,900505,CHIVIAN GARAGE CORP,,101,WEST   12 STREET,,NEW YORK,NY,10011,2129562280,98
Parking Garage,901088,LTG PARKING CORP,,150,WEST END AVENUE,,NEW YORK,NY,10023,2129999999,163
Parking Garage,901963,GRACIE PUBLIC   PARKING CORP,,401,EAST   89 STREET,,NEW YORK,NY,10128,2127367171,114
Parking Garage,906639,NEW WEST MANAGEMENT CORP,,1810,LORING PLACE,,BRONX,NY,10453,2125416050,65
Parking Garage,912191,334 PARKING CORP,334 PARKING,302,EAST   96 STREET,302-4 E 96TH ST,NEW YORK,NY,10128,2128661000,90
Parking Garage,919699,AERO PARKING CORP,RAPID PARKING INDUSTRIES,10,EAST 30 STREET,,NEW YORK,NY,10016,2128661000,200
Parking Garage,926039,"SAM PARKING, L.L.C.",,360,WEST BROADWAY,,NEW YORK,NY,10013,2129666774,180
Parking Garage,929734,"GUIDO, FRANK G",,117,CARROLL STREET,,BROOKLYN,NY,11231,7188522325,23
Parking Garage,941633,60TH STORAGE CORP,,220,EAST   60 STREET,,NEW YORK,NY,10022,2127373279,32
Parking Garage,954109,KINNEY WEST 83RD STREET INC.,,147,WEST   83 STREET,,NEW YORK,NY,10024,2128894444,182
Parking Garage,959355,"DUFORD STUDIO GARAGE COMPANY, L.L.C.",,127,EAST   83 STREET,,NEW YORK,NY,10028,2128887400,200
Parking Garage,962008,CENTRAL PARKING SYSTEM OF NEW YORK INC,,808-820,7 AVENUE,,NEW YORK,NY,10019,2126296602,210
Parking Garage,975588,ZOOM CAR PARK INC,,3130,GRAND CONCOURSE,,BRONX,NY,10458,2122216111,95
Parking Garage,976183,EVER-READY PARKING INC,,330,EAST   46 STREET,,NEW YORK,NY,10017,2127367171,155
Parking Garage,976184,IMPERIAL HOUSE PARKING LLC,,150,EAST   69 STREET,,NEW YORK,NY,10021,2127142442,139
Parking Garage,980798,BEST GARAGE CORP,,105-25,GERARD PLACE,,FOREST HILL,NY,11375,2127367171,89
Parking Garage,999760,5060 AUTO SERVICE INC,,4036,10 AVENUE,,NEW YORK,NY,10034,2125679504,70
Parking Garage,1005180,157 57TH THIRD CORP,,952,3 AVENUE,952-960,NEW YORK,NY,10022,2123558962,83
Parking Garage,1010039,300 PARKING INC,,300,WEST   55 STREET,,NEW YORK,NY,10019,2127367171,92
Parking Garage,1018977,S.D. BARRON LLC,,85,4 AVENUE,,NEW YORK,NY,10003,2123758455,48
Parking Garage,1023251,HUDSON RIVER PARKING CORP,,3720,HENRY HUDSON PARKWAY,,BRONX,NY,10463,2127367171,123
Garage - Parking Lot Combo,1199450,"215 EAST 95TH PARKING, LLC",,201-205,EAST   95 STREET,,NEW YORK,NY,10128,2126869800,108
Garage - Parking Lot Combo,1228876,"LAZ PARKING OF NEW YORK/NEW JERSEY, INC",,80-20,COOPER AVENUE,,QUEENS,NY,11385,2122652239,660
Garage - Parking Lot Combo,1241026,"C&S E-SUPERETTE, INC",,9053-9057,FORT HAMILTON PARKWAY,,BROOKLYN,NY,11231,9172085555,15
Garage - Parking Lot Combo,1337218,PARK RIGHT CORP,,39,EAST   29 STREET,,NEW YORK,NY,10016,2122624771,30
Parking Garage,365792,CARMEL GARAGE INC,,68-61,YELLOWSTONE BOULEVARD,,FOREST HILLS,NY,11375,2127511080,80
Parking Garage,367147,"WOLF, RAYMOND ET AL",25-27 BEEKMAN ST    ASSOCIATES,25,BEEKMAN STREET,,NEW YORK,NY,10038,2128661000,149
Parking Garage,367816,PARK-SERV LLC,,140-166,WEST   53 STREET,AKA 801-819 7 AVENUE,NEW YORK,NY,10019,2126869800,260
Parking Garage,367984,DISTINCTIVE PARKING LLC,DISTINCTIVE LLC,35-39,EAST   61 STREET,AKA 540 PARK AVENUE,NEW YORK,NY,10021,2126869800,129
Parking Garage,368099,FISHER 40TH & 3RD CO & HAWAIIAN REALTY INC,,222,EAST   40 STREET,,NEW YORK,NY,10016,2127525000,750
Parking Garage,368219,CIRCLE PARKING LLC,,200,WEST   52 STREET,"AKA 1652 BROADWAY, 200-206 W 52",NEW YORK,NY,10019,2126869800,440
Parking Garage,368506,GEMA PARKING CORP,,333,EAST   14 STREET,,NEW YORK,NY,10003,2124774043,44
Parking Garage,368546,CREATIVE PARKING LLC,,16,WEST   16 STREET,,NEW YORK,NY,10011,2126869800,99
Parking Garage,368910,CHATHAM PARKING SYSTEMS INC,,180,PARK ROW,,NEW YORK,NY,10038,2125137143,130
Parking Garage,369373,JO-MEG GARAGE CORP,80 CENTRAL PARK W GARAGE,80,CENTRAL PARK WEST,,NEW YORK,NY,10023,2129562280,83
Parking Garage,427125,ADVANCE PARKING LLC,,249,WEST   43 STREET,AKA 249-253 WEST 43 STREET,NEW YORK,NY,10036,2126869800,225
Parking Garage,427562,THE HERTZ CORP,,21O,WEST   77 STREET,,NEW YORK,NY,10024,2124865919,250
Parking Garage,428302,MANHATTAN PARKING SYSTEM SERVICE CORP,,220,MADISON AVENUE,,NEW YORK,NY,10016,2127536116,45
Parking Garage,429352,APPLE WEST 11TH STREET GARAGE CORP,,332,WEST   11 STREET,,NEW YORK,NY,10014,2122292553,150
Parking Garage,429682,"WOFL, RAYMOND ET AL",148 EAST 33RD ST    ASSOCIATES,148,EAST   33 STREET,,NEW YORK,NY,10016,2128661000,149
Parking Garage,469165,GEMINI GARAGE CORP,50 SUTTON PLACE SO GARAGE,50,SUTTON PLACE SOUTH,,NEW YORK,NY,10022,2129562280,76
Parking Garage,469348,GEMAT PARKING CORP,,233,EAST   69 STREET,,NEW YORK,NY,10021,2125359302,53
Parking Garage,692569,RIVERBAY CORP,,99,DREISER LOOP,,BRONX,NY,10475,7183203326,"1,361"
Parking Garage,692570,RIVERBAY CORP,,99,CARVER LOOP,,BRONX,NY,10475,7183203326,"1,361"
Parking Garage,692572,RIVERBAY CORP,,99,BELLAMY LOOP SOUTH,,BRONX,NY,10475,7183203326,"1,361"
Parking Garage,692573,RIVERBAY CORP,,999,CO-OP CITY BOULEVARD,,BRONX,NY,10475,7183203326,"1,311"
Parking Garage,695802,RIVERBAY CORP,,99,ERSKINE PL,,BRONX,NY,10475,7183203326,"1,361"
Parking Garage,699003,T CARDINAL COOKE HEALTH CARE CENTER,,1560-68,MADISON AVENUE,,NEW YORK,NY,10029,2123603600,350
Parking Garage,761016,64TH WEST END PARKING LLC,,110,WEST END AVENUE,AKA 102-116 WEST END AVENUE,NEW YORK,NY,10023,2126869800,106
Parking Garage,761544,BV GARAGE CORP,GGMC,245,EAST   54 STREET,,NEW YORK,NY,10022,2129966363,178
Parking Garage,766654,KINNEY SYSTEMS INC,,222,EAST   65 STREET,,NEW YORK,NY,10021,2128844444,300
Parking Garage,769326,GALLANT PARKING LLC,,182-184,EAST   95 STREET,,NEW YORK,NY,10128,2126869800,112
Parking Garage,808709,SUPERB PARKING LLC.,,400,EAST   35 STREET,AKA 400-434 EAST 35 STREET,NEW YORK,NY,10016,2126869800,80
Parking Garage,831026,ROYAL CHARTER       PROPERTIES-EAST INC,HELMSLEY MEDICAL TOWER GRG,507,EAST   70 STREET,,NEW YORK,NY,10021,2127461969,175
Parking Garage,856466,100 PARK TERRACE    WEST OWNERS CORP,,100,PARK TERRACE WEST,,NEW YORK,NY,10034,2123320777,20
Parking Garage,858490,RESOURCE PARKING LLC.,,1540-48,BROADWAY,,NEW YORK,NY,10036,2126869800,100
Parking Garage,881098,MEMORIAL SLOAN KETTERING CANCER CENTER,,433,EAST   66 STREET,433-35,NEW YORK,NY,10065,2126397711,87
Parking Garage,888338,INNOVATIVE PARKING LLC,,301,EAST   40 STREET,AKA 301-311 EAST 40 STREET,NEW YORK,NY,10016,2126869800,108
Parking Garage,888537,SAFEWAY PARKING CORP.,,345,EAST   86 STREET,,MANHATTAN,NY,10028,2124109609,56
Parking Garage,889934,MUTUAL PARKING SYSTEM INC,,340,EAST   64 STREET,,NEW YORK,NY,10065,2128887400,91
Parking Garage,906120,OXFORD PARKING CORP,,333,EAST   49 STREET,,MANHATTAN,NY,10017,2122493344,51
Parking Garage,906438,CLAREMONT PARKING CORP,,480,RIVERSIDE DRIVE,,NEW YORK,NY,10027,2128661000,200
Parking Garage,916798,P.A.C. GARAGE CORP,P.A.C. GARAGE,120,EAST   87 STREET,,NEW YORK,NY,10128,2127373279,78
Parking Garage,920608,CAROUSEL PARKING CORP,,201,WEST   75 STREET,,NEW YORK,NY,10023,2122493344,278
Garage - Parking Lot Combo,800489,"MUSS, HYMAN - ET AL",C E TOWERS CO,118-35,QUEENS BOULEVARD,,FOREST HILLS,NY,11375,7182633800,582
Garage - Parking Lot Combo,831034,3223 JOHNSON SERVICES INC,,3223,JOHNSON AVENUE,3223-25 JOHNSON AVE,BRONX,NY,10463,7185853857,36
Garage - Parking Lot Combo,904077,FIELD LAGUARDIA ASSOCIATES INC,HOLIDAY INN CROWN PLAZA,104-04,DITMARS BOULEVARD,,ELMHURST,NY,11369,7184576300,259
Garage - Parking Lot Combo,966613,"RISING WOLF PARKING GARAGE, LLC",,336-338,EAST    9 STREET,,NEW YORK,NY,10003,2124755858,48
Garage - Parking Lot Combo,1174338,"BEST BUY AUTOMOTIVE, INC.",,1855,EAST TREMONT AVENUE,,BRONX,NY,10460,7188636816,100
Parking Garage,364407,HOMESTEAD EQUITIES INC,,341,PACIFIC STREET,,BROOKLYN,NY,11217,9178462923,25
Parking Garage,367274,SUTTON PLACE GARAGE CORP,,35,SUTTON PLACE,,NEW YORK,NY,10022,2129562280,38
Parking Garage,367503,RAINBOW PARKING CORP,,300,EAST   71 STREET,,NEW YORK,NY,10021,2122493344,57
Parking Garage,367879,PREVOST GARAGE CORP,,420,EAST   72 STREET,,NEW YORK,NY,10021,2126501529,64
Parking Garage,368148,79-80 GARAGE CORP,,80-15,41 AVENUE,,ELMHURST,NY,11373,7187250413,98
Parking Garage,368322,CAROLE STORAGE CORP,,777,3 AVENUE,,NEW YORK,NY,10017,2127536116,92
Parking Garage,368400,305 E 86TH PARKING LLC,,305,EAST   86 STREET,AKA 1660 2 AVENUE,NEW YORK,NY,10028,2126886800,168
Parking Garage,368602,PHYLLIS SIRULNICK REALTY CORP,,143-25,41 AVENUE,,FLUSHING,NY,11355,5163747000,33
Parking Garage,368677,920 PARKING CORP,,920,PARK AVENUE,,NEW YORK,NY,10028,2128661000,27
Parking Garage,368822,OMNI PARKING LLC,,143-159,WEST   68 STREET,,NEW YORK,NY,10023,2126869800,271
Parking Garage,369041,UNIVERSAL PARKING LLC,,55,WEST   14 STREET,,NEW YORK,NY,10011,2126869800,129
Parking Garage,369221,PORT PARKING LLC,,235,WEST   48 STREET,,NEW YORK,NY,10036,2126869800,94
Parking Garage,369939,THE FISHER-SIXTH AVENUE CO & HAWAIIAN SIXTH AVE CORP,BURLINGTON HOUSE GARAGE,1341,6 AVENUE,101  W 55 ST,NEW YORK,NY,10019,2127525000,341
Parking Garage,427688,411 WEST 55TH STREET CORP,,411,WEST   55 STREET,,NEW YORK,NY,10019,2128661000,175
Parking Garage,429467,ELEVEN RIVERSIDE DRIVE GARAGE CORP,,11,RIVERSIDE DRIVE,MGMT OFFICE,NEW YORK,NY,10023,2128741435,200
Parking Garage,429522,B E W PARKING INC,RAPID PARK IND,254,WEST   79 STREET,,NEW YORK,NY,10024,2128661000,100
Parking Garage,429658,REGAL PARKING LLC.,,250,MADISON AVENUE,250-264,NEW YORK,NY,10016,2126869800,155
Parking Garage,469220,INSTANT PARKING LLC,,434,EAST   80 STREET,AKA 435 EAST 79 STREET,NEW YORK,NY,10021,2126869800,49
Parking Garage,469374,LEXINGTON 55TH GARAGE INC,,136,EAST   55 STREET,,NEW YORK,NY,10022,2124072516,101
Parking Garage,692051,NEWBURY OPERATING LLC,,249,EAST   86 STREET,AKA 250 EAST 87 STREET,NEW YORK,NY,10028,2126869800,146
Parking Garage,766695,CLICK PARKING CORP,,225,CENTRAL PARK WEST,,NEW YROK,NY,10024,2122493344,58
Parking Garage,812525,THE SOCIETY OF THE NEW YORK HOSPITAL,,515,EAST   70 STREET,,NEW YORK,NY,10021,2127481969,250
Parking Garage,813280,EAST RIVER 72 GARAGE LLC,,515,EAST   72 STREET,,NEW YORK,NY,10021,2126869800,130
Parking Garage,883452,92ND ST GARAGE CORP,GGMC,1623-1641,3 AVENUE,,NEW YORK,NY,10128,2129966363,301
Parking Garage,892366,MANAGEMENT SYSTEMS LLC,,200,EAST   32 STREET,,NEW YORK,NY,10016,2126869800,33
Parking Garage,898076,KINNEY SYSTEM INC,,120,EAST  210 STREET,,BRONX,NY,10467,2126296602,862
Parking Garage,901540,9-11 WEST 100TH STREET CORP,,9 11,WEST  100 STREET,,MANHATTAN,NY,10025,2128661000,75
Parking Garage,906410,MARK TWAIN GARAGE CORP,,100,WEST   12 STREET,,MANHATTAN,NY,10011,2129562280,40
Parking Garage,908174,CENTRAL PARKING SYSTEM OF NEW YORK INC,,1250,BROADWAY,,NEW YORK,NY,10001,2126296602,150
Parking Garage,908745,CHAMPION PARKING 77 STREET CORP,,49,EAST   77 STREET,,NEW YORK,NY,10021,2122493344,113
Parking Garage,912083,SYLVAN MADISON GARAGE CORP,SYLVAN MADISON GARAGE,60,EAST   90 STREET,,NEW YORK,NY,10128,7185759440,268
Parking Garage,913566,TAFT GARAGE CORP,TAFT GARAGE,891,SHERIDAN AVENUE,,BRONX,NY,10451,2129562280,95
Parking Garage,929732,"GUIDO, FRANK G",,125,CARROLL STREET,125-127 CARROL STREET,BROOKLYN,NY,11231,7188522325,23
Parking Garage,945081,QUEENS OFFICE TOWER LTD PARTNERSHIP,,95-25,QUEENS BOULEVARD,,REGO PARK,NY,11374,7188309344,475
Parking Garage,948832,WEST END TOWERS GARAGE CORP,,55,WEST END AVENUE,,NEW YORK,NY,10023,2129562280,375
Parking Garage,965328,CENTRAL PARKING SYSTEM OF NEW YORK INC,,210-10,23 AVENUE,,QUEENS,NY,11360,2126296602,900
Parking Garage,976075,PREMIER PARKING LLC,,203,EAST   61 STREET,AKA 200-4 EAST 62 STREET,NEW YORK,NY,10021,2126869800,131
Parking Garage,992903,SEVEN ELEVEN CAR PARK LLC,GGMC,711,THIRD AVENUE,,NEW YORK,NY,10017,2129966363,165
Parking Garage,998155,SYLVAN FORESTER GARAGE LLC,,111-09,QUEENS BOULEVARD,BUILDING EXTENDS 09/11/15/29,FOREST HILLS,NY,11375,2129446666,99
Garage - Parking Lot Combo,428990,CHELNICK PARKING CORP,CHELNIK PARKING,880,5 AVENUE,,NEW YORK,NY,10021,2127511080,110
Garage - Parking Lot Combo,1023980,FLATBRIDGE PARKING CORP,,36,FLATBUSH AVENUE EXTENSION,120 CONCORD STREET,BROOKLYN,NY,11201,2122216111,150
Garage - Parking Lot Combo,1162793,751 CVW LLC,,173,EAST  156 STREET,,BRONX,NY,10451,9175840383,238
Garage - Parking Lot Combo,1228861,"QUIK PARK 89 ST, LLC",,207,WEST 88 STREET,,NEW YORK,NY,10024,2128322066,36
Garage - Parking Lot Combo,1230416,MP 97 LLC,,217,EAST   96 STREET,,NEW YORK,NY,10128,2124903460,200
Garage - Parking Lot Combo,1231896,"IMPARK NORTH END , LLC",,211,NORTH END AVENUE,,NEW YORK,NY,10282,2129378660,25
Garage - Parking Lot Combo,1267754,702 CONCOURSE CORP.,,780,CONCOURSE VILLAGE WEST,,BRONX,NY,10451,7187880066,108
Garage - Parking Lot Combo,1341459,CENTRAL PARKING SYSTEM OF NEW YORK INC,,0,PIER 40,353 WEST STREET,NEW YORK,NY,10001,2125025490,"3,500"
Parking Garage,368238,NEW YORK PARKING 56TH ST CORP,,65,WEST   56 STREET,,NEW YORK,NY,10019,2122493349,80
Parking Garage,368285,"ELLMAN, LEE E",,118-21,QUEENS BOULEVARD,,FOREST HILLS,NY,11375,7185750045,42
Parking Garage,368468,SIRUL REALTY CORPORATION,,1279,EAST   17 STREET,,BROOKLYN,NY,11230,5163747000,24
Parking Garage,368594,MANHATTAN PARKING SYSTEMPARK AVE CORP,,277,PARK AVENUE,,NEW YORK,NY,10017,2127536116,40
Parking Garage,368705,AMBER PARK LLC,,101-103,EAST   13 STREET,AKA 101 EAST 13 STREET,NEW YORK,NY,10003,2126869800,46
Parking Garage,369771,KINGS HIGHWAY REALTY CORP,,5455,KINGS HIGHWAY,,BKLYN,NY,11203,7186290197,16
Parking Garage,369984,ALLIED ST GEORGE    CORP,ALLIED GARAGE,55,CENTRAL AVENUE,,STATEN ISLAND,NY,10301,7182633800,198
Parking Garage,427101,S T A PARKING CORP,,433,EAST   76 STREET,,NEW YORK,NY,10021,2127378850,90
Parking Garage,427311,S C R PARKING CORP,,169,EAST   87 STREET,,NEW YORK,NY,10128,2122493344,175
Parking Garage,427868,249 PARKING CORP,,249,10 AVENUE,,NEW YORK,NY,10001,2126432062,120
Parking Garage,428135,ELBERT HOLDING CORP,,142,WEST   21 STREET,148,NEW YORK,NY,10011,2129293676,129
Parking Garage,429031,57 & 11 PARKING CORP,,622,WEST   57 STREET,,NEW YORK,NY,10019,2128887400,"1,000"
Parking Garage,429281,CURANOVIC DODA & CURANOVIC MARAS,,2927,VALENTINE AVENUE,,BRONX,NY,10458,7183653150,26
Parking Garage,429844,AFFILIATED PARKING LLC,,247,MADISON AVENUE,AKA 247-261 MADISON AVENUE,NEW YORK,NY,10016,2123333333,80
Parking Garage,469935,"301 EAST 62ND GARAGE, CORP",,301,EAST   62 STREET,,NEW YORK,NY,10065,2127559935,50
Parking Garage,695804,RIVERBAY CORP,,2099,BARTOW AVENUE,,BRONX,NY,10475,7183203391,"1,361"
Parking Garage,699352,67TH ST & 2ND AVE   GARAGE INC,,254,EAST   68 STREET,,NEW YORK,NY,10021,2124072516,150
Parking Garage,733235,KNICKERBOCKER GARAGE CORP,GGMC,1601-1619,3 AVENUE,,NEW YORK,NY,10128,2129966363,220
Parking Garage,735058,71ST. GARDEN GARAGE INC.,,211,EAST   70 STREET,,NEW YORK,NY,10021,2124072516,150
Parking Garage,788455,ULTRA-PARK LLC,,424,WEST END AVENUE,AKA 424-438 WEST END AVENUE,NEW YORK,NY,10024,2126869800,83
Parking Garage,811933,CENTURY PARKING LLC,CENTRY PARKING LLC,330,EAST   75 STREET,,NEW YORK,NY,10021,2126869800,69
Parking Garage,813398,ALLIE GARAGE CORP,,124,WEST   60 STREET,,NEW YORK,NY,10023,2129562280,125
Parking Garage,835198,PJ'S PARKING SERVICE CORP,PJ'S PARKING,88-35,164 STREET,,JAMAICA,NY,11432,7189492507,49
Parking Garage,838371,CONVENIENT PARKING LLC,,215,WEST   95 STREET,,NEW YORK,NY,10025,2126869800,77
Parking Garage,851958,52 - BROADWAY GARAGE CORP.,,1675,BROADWAY,,NEW YORK,NY,10019,2124072516,61
Parking Garage,883451,10 W 66TH ST GARAGE CORP,GGMC,10,WEST   66 STREET,,NEW YORK,NY,10023,2129966363,195
Parking Garage,901087,LTG PARKING CORP,,165,WEST END AVENUE,,NEW YORK,NY,10023,2129999999,445
Parking Garage,905127,15 WEST 72ND ST CORP,,15,WEST   72 STREET,,NEW YORK,NY,10023,2128661000,176
Parking Garage,907146,AIR PARK OF JFK INC.,,153-44,SOUTH CONDUIT AVENUE,,JAMAICA,NY,11434,7182767000,150
Parking Garage,912341,"RAVNER, HARVEY AND RAVNER,WENDIE AND ZIGELBAUM, LEONARD ETAL",304_ASSOCIATES,304,WEST   49 STREET,304  306 W 49 STREET,NEW YORK,NY,10019,2122445064,205
Parking Garage,914278,KINNEY WEST END AVENUE INC,,711,WEST END AVENUE,,NEW YORK,NY,10025,2128894444,125
Parking Garage,919735,ALLIED AUSTIN CO. LP,ALLIED AUSTIN CO,69-30,AUSTIN STREET,,FOREST HILL,NY,11375,7185209872,121
Parking Garage,928867,ALLIED AUSTIN CO LP,,69-40,AUSTIN STREET,69-40/ 50 AUSTIN STREET,FOREST HILLS,NY,11375,7185209872,125
Parking Garage,942550,CADILLAC LEASING LIMITED PARTNERSHIP,,123-60,83 AVENUE,,QUEENS,NY,11415,7185208620,94
Parking Garage,945052,BOULEVARD LEASING LIMITED PARTNERSHIP,,97-45,QUEENS BOULEVARD,,REGO PARK,NY,11374,7188309084,95
Parking Garage,955232,PARK BRIAR GARAGE CORP,,110-45,QUEENS BOULEVARD,,FOREST HILL,NY,11375,2127367171,87
Garage - Parking Lot Combo,899744,COSMOPOLITAN PARKING CORP,SAA,34-36,EAST   21 STREET,34 36 E 21 ST,MANHATTAN,NY,10010,2122493344,36
Garage - Parking Lot Combo,947720,ALLIED AUSTIN CO L P,,70-20,AUSTIN STREET,,FOREST HILLS,NY,11375,7182615949,126
Garage - Parking Lot Combo,953645,J & B PARKING GARAGE INC,,477,WEST  165 STREET,,NEW YORK,NY,10032,7185855587,30
Garage - Parking Lot Combo,1228867,"QUIK PARK WEST 22 ST, LLC",,235,WEST   22 STREET,,NEW YORK,NY,10011,2128322066,85
Parking Garage,363056,"THOMPSON, ALFREDO",GARFIELD SERVICE GARAGE,187A-201,GARFIELD PLACE,,BROOKLYN,NY,11215,7187889851,40
Parking Garage,367613,THE BERGER'S PARKING CORPORATION,196 GARAGE,196,EAST   75 STREET,,NEW YORK,NY,10021,2125358291,27
Parking Garage,367720,222 EAST 69TH       GARAGE CORP,,222,EAST   69 STREET,,NEW YORK,NY,10021,2124072516,157
Parking Garage,367866,333 GARAGE CORP,,333,EAST   69 STREET,,NEW YORK,NY,10021,2126581529,67
Parking Garage,367917,ZENITH PARKING LLC,254 254 W 49 STREET,790-800,8 AVENUE,AKA 254 WEST 49 STREET,NEW YORK,NY,10019,2126869800,250
Parking Garage,368157,EFFECTIVE PARKING LLC,,435,WEST   57 STREET,,NEW YORK,NY,10019,2126869800,55
Parking Garage,368185,BRICIN PARKING CORP,,155,EAST   55 STREET,,NY,NY,10022,2127565451,42
Parking Garage,368201,145 EAST 16TH STREET GARAGE CORP,,144,EAST   17 STREET,,NEW YORK,NY,10003,2128887400,47
Parking Garage,368410,BRICIN PARKING CORP,,65,WEST   55 STREET,,NEW YORK,NY,10019,2127515431,24
Parking Garage,369606,THE HERTZ CORP,,327,EAST   64 STREET,,NEW YORK,NY,10065,2124865914,120
Parking Garage,427326,THE HERTZ CORP,,412,EAST   90 STREET,,NY,NY,10128,2129865912,150
Parking Garage,427357,"TRI STAR GARAGE SERVICE, CORP.",,3230,JEROME AVENUE,,BRONX,NY,10468,7183641837,100
Parking Garage,427924,"FRIARS 50TH STREET GARAGE, INC",,218,WEST   50 STREET,,NEW YORK,NY,10019,2128887400,230
Parking Garage,469373,EQUITY PARKING LLC,,1441-55,2 AVENUE,AKA 240 EAST 76 STREET,NEW YORK,NY,10021,2126869800,70
Parking Garage,695803,RIVERBAY CORPORATION,,99,EINSTEIN LOOP NORTH,,BRONX,NY,10475,7183203326,"1,311"
Parking Garage,699244,79TH ST PARKING LLC,,900,PARK AVENUE,AKA 900-906 PARK AVENUE,NEW YORK,NY,10021,2126869800,61
Parking Garage,735702,Y & H ENTERPRISES INC                   526-534 W 13,Y & H GARAGE,526,WEST  134 STREET,534,NEW YORK,NY,10031,2128623502,175
Parking Garage,835271,NEW YORK PARKING 54TH ST CORP,,527,MADISON AVENUE,,NEW YORK,NY,10022,2122493344,26
Parking Garage,850402,ACTIVE PARKING LLC,,2361-2379,BROADWAY,AKA 2373 BROADWAY,NEW YORK,NY,10024,2126869800,124
Parking Garage,883898,FLEUR GARAGE CORP,,77,7 AVENUE,,NEW YORK,NY,10011,2129562280,94
Parking Garage,889341,THOMPSON ST. PARKING CORP,,221,THOMPSON ST,,NEW YORK,NY,10012,2126438631,235
Parking Garage,891578,THE HERTZ CORP,,355,EAST   76 STREET,,NEW YORK,NY,10021,2124865908,260
Parking Garage,897040,INDEPENDENT PARKING LLC,,422,EAST   72 STREET,,NEW YORK,NY,10021,2126869800,77
Parking Garage,898706,"PARIS, ZACARIAS P",P & P PARKING LOT,1300,GERARD AVENUE,A/K/A 21 E 169TH ST,BRONX,NY,10452,7182933679,30
Parking Garage,901637,WOOSTER PARKING CORP,,349,CANAL STREET,,NEW YORK,NY,10013,2122268541,225
Parking Garage,904543,12TH STREET GARAGE CORP,,17,EAST   12 STREET,17-19 E 12 ST,NEW YORK,NY,10003,2122435900,285
Parking Garage,905554,50-51 PARKING CORP,,260,EAST  143 STREET,,BRONX,NY,10451,7189936902,150
